ID_Transaction,Client_ID,Categorie,Prix_Unitaire,Quantite,Ville
TX-00000001,USR-49369,Sports,527.9,1,Nantes
TX-00000002,USR-94714,Maison,730.4,5,Paris
TX-00000003,USR-46637,Mode,313.31,3,Lille
TX-00000004,USR-19691,Sports,1150.79,3,Lille
TX-00000005,USR-70113,Alimentation,87.36,1,Nantes
TX-00000006,USR-81953,Sports,248.73,2,Marseille
TX-00000007,USR-25646,Alimentation,965.06,2,Paris
TX-00000008,USR-24898,Électronique,773.36,3,Lyon
TX-00000009,USR-40122,Alimentation,369.82,2,Lille
TX-00000010,USR-18994,Électronique,30.13,5,Nantes
TX-00000011,USR-98022,Maison,525.24,2,Marseille
TX-00000012,USR-63657,Électronique,128.04,4,Lyon
TX-00000013,USR-17291,Sports,1026.54,2,Nantes
TX-00000014,USR-25183,Alimentation,29.5,3,Toulouse
TX-00000015,USR-73196,Électronique,441.85,2,Toulouse
TX-00000016,USR-91314,Alimentation,326.78,3,Lyon
TX-00000017,USR-17633,Alimentation,633.22,5,Lille
TX-00000018,USR-91085,Électronique,786.78,3,Toulouse
TX-00000019,USR-33707,Mode,476.81,4,Bordeaux
TX-00000020,USR-19702,Alimentation,516.57,1,Bordeaux
TX-00000021,USR-69056,Sports,587.34,3,Marseille
TX-00000022,USR-76205,Alimentation,367.81,2,Paris
TX-00000023,USR-42436,Sports,1055.36,4,Bordeaux
TX-00000024,USR-45899,Maison,165.35,5,Bordeaux
TX-00000025,USR-34433,Électronique,215.13,4,Bordeaux
TX-00000026,USR-72987,Mode,818.64,3,Nantes
TX-00000027,USR-67751,Maison,648.15,2,Toulouse
TX-00000028,USR-33695,Alimentation,102.78,1,Bordeaux
TX-00000029,USR-57991,Maison,986.77,3,Nantes
TX-00000030,USR-47825,Électronique,346.0,1,Paris
TX-00000031,USR-53555,Électronique,842.99,1,Marseille
TX-00000032,USR-45316,Mode,813.31,5,Lyon
TX-00000033,USR-86394,Maison,561.74,2,Lyon
TX-00000034,USR-60887,Mode,915.84,4,Bordeaux
TX-00000035,USR-89268,Mode,775.53,2,Toulouse
TX-00000036,USR-20938,Électronique,361.32,4,Lyon
TX-00000037,USR-97833,Sports,874.97,1,Marseille
TX-00000038,USR-81372,Sports,1131.07,2,Lille
TX-00000039,USR-17791,Maison,762.19,5,Toulouse
TX-00000040,USR-92427,Alimentation,125.79,5,Bordeaux
TX-00000041,USR-93382,Maison,10.48,5,Bordeaux
TX-00000042,USR-93873,Mode,1047.39,3,Nantes
TX-00000043,USR-32840,Maison,1143.64,1,Paris
TX-00000044,USR-55250,Mode,1047.84,2,Bordeaux
TX-00000045,USR-11499,Électronique,364.92,5,Lyon
TX-00000046,USR-17372,Maison,445.04,5,Bordeaux
TX-00000047,USR-70335,Mode,1198.13,1,Nantes
TX-00000048,USR-54477,Sports,166.93,4,Nantes
TX-00000049,USR-95256,Électronique,945.21,2,Lille
TX-00000050,USR-17728,Mode,470.17,1,Bordeaux
TX-00000051,USR-90154,Alimentation,1054.77,2,Paris
TX-00000052,USR-70407,Maison,189.6,3,Paris
TX-00000053,USR-23281,Alimentation,304.52,4,Lille
TX-00000054,USR-70365,Électronique,262.63,2,Paris
TX-00000055,USR-76428,Alimentation,589.73,1,Toulouse
TX-00000056,USR-92317,Sports,276.28,1,Marseille
TX-00000057,USR-45625,Mode,1026.07,1,Paris
TX-00000058,USR-56387,Alimentation,287.66,5,Lyon
TX-00000059,USR-31952,Maison,818.03,1,Paris
TX-00000060,USR-29357,Électronique,43.46,1,Toulouse
TX-00000061,USR-69648,Électronique,7.45,2,Nantes
TX-00000062,USR-26096,Sports,1164.74,3,Marseille
TX-00000063,USR-91363,Mode,1065.82,2,Lyon
TX-00000064,USR-59035,Maison,849.17,5,Lille
TX-00000065,USR-93501,Alimentation,472.74,4,Lyon
TX-00000066,USR-74634,Alimentation,617.54,1,Lille
TX-00000067,USR-71031,Maison,869.23,5,Lyon
TX-00000068,USR-19124,Maison,84.8,1,Bordeaux
TX-00000069,USR-56838,Alimentation,975.34,2,Nantes
TX-00000070,USR-45163,Électronique,31.07,1,Marseille
TX-00000071,USR-91799,Alimentation,879.4,1,Marseille
TX-00000072,USR-63383,Mode,1063.62,3,Marseille
TX-00000073,USR-40597,Mode,852.07,3,Lille
TX-00000074,USR-40753,Électronique,995.45,2,Lyon
TX-00000075,USR-99012,Maison,851.22,2,Lyon
TX-00000076,USR-78732,Sports,57.87,4,Lille
TX-00000077,USR-29863,Mode,374.58,3,Nantes
TX-00000078,USR-72331,Électronique,823.93,5,Marseille
TX-00000079,USR-35745,Mode,841.85,4,Paris
TX-00000080,USR-50059,Électronique,1198.62,1,Toulouse
TX-00000081,USR-95318,Sports,753.45,2,Lille
